Foto,Latitude,Longitude,Local
2019-05-14_22-58-11_UTC.jpg,,,
2020-01-21_23-16-51_UTC_4.jpg 2020-01-21_23-16-51_UTC_2.jpg 2020-01-21_23-16-51_UTC_3.jpg 2020-01-21_23-16-51_UTC_1.jpg,,,
2019-03-12_15-26-41_UTC.jpg,-12.8,-38.63333333,Baía de Todos-os-Santos
2019-04-12_23-06-44_UTC_2.jpg 2019-04-12_23-06-44_UTC_3.jpg 2019-04-12_23-06-44_UTC_1.jpg,,,abrolhos
2018-07-12_18-20-56_UTC.jpg,,,
2018-10-09_23-23-07_UTC.jpg,,,
2019-10-30_19-53-48_UTC.jpg,-12.9978438518,-38.5070317923,Instituto de Geociências - UFBA
2020-05-25_18-29-29_UTC.jpg,,,
2020-01-02_22-53-22_UTC.jpg,,,
2020-04-10_02-08-43_UTC.jpg,-12.968737,-38.419704,Orla de Salvador
2019-11-28_18-24-12_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2020-05-19_22-40-11_UTC_3.jpg 2020-05-19_22-40-11_UTC_1.jpg 2020-05-19_22-40-11_UTC_2.jpg,,,
2019-04-05_11-54-27_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-08-27_23-27-02_UTC.jpg,,,
2018-07-04_23-05-46_UTC.jpg,,,
2018-09-25_12-51-17_UTC_2.jpg 2018-09-25_12-51-17_UTC_1.jpg,,,
2020-01-12_23-27-42_UTC.jpg,-8.75665,-35.1033,tamandaré
2019-04-25_00-15-00_UTC.jpg,,,
2019-05-30_23-26-47_UTC.jpg,,,
2019-02-04_12-38-36_UTC.jpg,-8.7630169081,-35.1042623818,ICMBio Costa dos Corais
2020-01-20_12-21-14_UTC.jpg,-8.89788,-35.14476,"São José Da Coroa Grande, Pernambuco, Brazil"
2019-02-13_13-09-30_UTC.jpg,,,
2019-01-20_12-12-05_UTC.jpg,,,
2017-05-18_23-03-50_UTC.jpg,,,abrolhos
2019-11-08_22-58-36_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2018-07-04_00-31-21_UTC_1.jpg 2018-07-04_00-31-21_UTC_3.jpg 2018-07-04_00-31-21_UTC_2.jpg,,,
2019-03-19_23-43-57_UTC.jpg,,,
2014-12-03_13-56-07_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2018-12-27_13-50-09_UTC.jpg,,,
2019-05-01_01-27-46_UTC.jpg,,,
2019-03-07_14-23-29_UTC.jpg,-9.665173,-35.735767,Costa dos Corais
2020-02-25_22-44-41_UTC.jpg,,,
2019-10-31_01-53-01_UTC.jpg,,,
2020-02-06_23-00-00_UTC_4.jpg 2020-02-06_23-00-00_UTC_3.jpg 2020-02-06_23-00-00_UTC_2.jpg 2020-02-06_23-00-00_UTC_1.jpg,,,
2017-01-16_23-22-00_UTC.jpg,-8.75665,-35.1033,tamandaré
2019-04-10_00-10-07_UTC.jpg,,,
2019-11-13_00-02-33_UTC.jpg,-5.2765,-35.3794,rio do fogo
2019-02-07_22-34-22_UTC_2.jpg 2019-02-07_22-34-22_UTC_1.jpg,,,
2019-07-25_11-07-22_UTC.jpg,-22.9129,-43.2003,rio de janeiro
2020-04-02_16-59-30_UTC.jpg,-22.76914,-41.78942,Ilha da Âncora
2019-09-24_22-30-16_UTC.jpg,,,
2019-02-20_22-22-27_UTC_1.jpg 2019-02-20_22-22-27_UTC_4.jpg 2019-02-20_22-22-27_UTC_5.jpg 2019-02-20_22-22-27_UTC_3.jpg 2019-02-20_22-22-27_UTC_2.jpg,-8.89788,-35.14476,"São José Da Coroa Grande, Pernambuco, Brazil"
2019-03-28_12-12-49_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2020-02-17_05-00-53_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2020-04-22_13-57-58_UTC_1.jpg 2020-04-22_13-57-58_UTC_2.jpg,-9.249575,-35.352971,Apa Costa Dos Corais
2018-09-14_15-42-52_UTC.jpg,,,
2018-04-02_00-38-02_UTC.jpg,-22.9774,-42.0267,arraial do cabo
2019-06-06_23-25-18_UTC_2.jpg 2019-06-06_23-25-18_UTC_1.jpg,,,
2019-05-02_22-31-39_UTC_4.jpg 2019-05-02_22-31-39_UTC_1.jpg 2019-05-02_22-31-39_UTC_2.jpg 2019-05-02_22-31-39_UTC_3.jpg,-5.27472,-35.38253,Rio do Fogo
2020-01-11_23-35-31_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2019-09-10_21-37-31_UTC.jpg,,,
2020-01-12_13-40-07_UTC.jpg,-8.1219121,-34.8964983,Mapa Do Brasil -  Porto De Galinhas
2019-04-12_09-52-29_UTC_2.jpg 2019-04-12_09-52-29_UTC_3.jpg 2019-04-12_09-52-29_UTC_1.jpg,33.7761152706,-84.3988502026,Georgia Tech
2020-05-25_16-15-31_UTC.jpg,-7.9105209734,-34.8315912642,"Pau Amarelo, Pernambuco"
2019-06-21_14-25-40_UTC.jpg,-9.08746,-35.2634,japaratinga
2019-08-31_22-23-55_UTC.jpg,-5.2717347064,-35.3831888366,Parrachos Rio do Fogo
2019-11-15_20-17-54_UTC_2.jpg 2019-11-15_20-17-54_UTC_1.jpg 2019-11-15_20-17-54_UTC_3.jpg,,,
2019-10-31_13-14-57_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2018-12-29_12-33-12_UTC.jpg,,,bahia de todos os santos
2019-06-25_22-21-20_UTC_1.jpg 2019-06-25_22-21-20_UTC_2.jpg,,,atol das rocas
2020-02-11_20-35-33_UTC.jpg,-8.9330611525,-35.1667035031,"Maragogi, Alagoas"
2019-07-02_18-55-10_UTC.jpg,,,
2018-12-08_22-53-50_UTC.jpg,-10.35,-36.2833,"Pontal Do Peba, Alagoas, Brazil"
2019-03-03_18-08-09_UTC.jpg,,,
2020-04-24_11-09-46_UTC.jpg,-8.0639,-34.87317,Projeto Conservação Recifal (PCR)
2018-12-01_14-03-50_UTC.jpg,,,
2018-12-17_00-40-08_UTC.jpg,-17.9369,-38.9465,Parque Nacional Marinho dos Abrolhos
2019-12-19_22-17-33_UTC.jpg,,,
2019-11-06_16-37-22_UTC_3.jpg 2019-11-06_16-37-22_UTC_1.jpg 2019-11-06_16-37-22_UTC_2.jpg,,,
2019-06-13_19-49-09_UTC.jpg,,,
2020-05-05_11-02-56_UTC_1.jpg 2020-05-05_11-02-56_UTC_2.jpg,-9.08746,-35.2634,japaratinga
2019-06-05_18-47-29_UTC.jpg,,,maracajau
2018-09-05_17-29-19_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2020-02-03_15-30-26_UTC_2.jpg 2020-02-03_15-30-26_UTC_1.jpg 2020-02-03_15-30-26_UTC_3.jpg,,,
2019-04-01_22-44-30_UTC.jpg,-22.9756162354,-42.0296385884,Praia Grande - Arraial do Cabo
2016-01-04_19-51-45_UTC.jpg,,,maracajau
2019-06-28_16-50-53_UTC.jpg,-8.89788,-35.14476,"São José Da Coroa Grande, Pernambuco, Brazil"
2018-12-04_15-02-36_UTC.jpg,,,
2019-02-01_08-04-58_UTC.jpg,-23.622171,-46.411453,Parque Estadual Marinho da Laje de Santos
2019-02-26_23-25-50_UTC.jpg,,,
2019-07-20_00-34-42_UTC.jpg,-8.5049314736,-35.0029563904,Porto de Galinhas
2014-10-08_10-53-25_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2018-06-12_01-44-29_UTC.jpg,-22.76914,-41.78942,Ilha da Âncora
2018-08-23_16-16-54_UTC.jpg,,,
2020-01-12_23-53-32_UTC.jpg,,,
